train,test
-483.6143419779404,-408.14446488917474
-521.2981001011907,-507.26543318311855
-407.07947164991606,-499.6534568663851
-466.24167386955077,-412.80688858593777
-483.80449320528487,-434.79585617626805
-390.5148495085577,-404.3606682479512
-468.15777629690353,-467.7074585454777
-425.91566915659234,-396.0567879557925
-447.351054395601,-514.0990187940662
-430.0720215611551,-495.7843871985188
-428.1396051866465,-368.24087755139925
-430.8706575793292,-489.65696181018694
-390.3169234563213,-437.7258545415298
-404.37600411642126,-415.71192094290916
-420.21497979360083,-419.18579483669487
-484.0010296035467,-422.4626646733189
-411.2470171302474,-455.93047169228976
-458.86598426862724,-467.8289569538148
-432.3939435506183,-418.3673036956182
-426.75278135562695,-436.33026200002416
-422.18067947242116,-458.7732626315957
-421.330480256383,-387.7961405149748
-440.2361698483983,-393.2489722263185
-454.9386015907986,-401.9699762816412
-498.56637553317563,-496.3977263673239
-436.2231065905529,-444.1674135183072
-414.95487826679675,-446.78455863346767
-493.6518926582145,-485.7419464107567
-405.3072403709563,-447.07099778987174
-413.44404567157335,-420.64395202411635
-443.3867599616857,-489.6490332582455
-466.955808569273,-446.9809428352121
-436.0332611778887,-438.8412218436518
-449.57527584229575,-407.3738128998294
-454.7341943691187,-449.5441185261468
-408.54660111337705,-413.7304519093167
-461.80993857635883,-420.9683237871519
-404.7123422290008,-491.37858988771177
-395.84827478831176,-377.44644884823646
-470.14812508813185,-448.580799293033
-446.80400660668505,-512.353876722258
-438.41360880569886,-510.7419347347337
-384.1142748101419,-382.84105258677727
-378.6064832808456,-443.2765699146571
-409.80717204481266,-448.3708689130936
-403.8119042349962,-446.6568708217744
-427.54510383235925,-451.0655126978311
-404.5117997863982,-405.0314234616477
-379.4231820490784,-374.83896598779046
-470.13863060319056,-473.0767675104709
-396.63382389293616,-395.9719445974568
-407.55297731491873,-409.6142729240525
-417.9877600591866,-421.94457514830503
-449.8938677110198,-365.471182764085
-424.351213840988,-396.3453069150014
-433.00088196442704,-470.13937791525757
-403.6145807320663,-410.0741662408408
-466.9812611149606,-412.7503906280879
-409.64876764181196,-360.76413834987574
-426.91408856037447,-426.6153367054405
-468.67519588672457,-425.17576021671675
-413.88468393177885,-428.9632718510163
-445.20144122490433,-418.22992634320315
-455.740053038381,-383.01739969568933
-451.3179509832335,-455.49057957043243
-455.729586871515,-435.4874495317734
-445.5032075024793,-417.23526845383515
-430.74325878840904,-401.6151829749101
