+train,test
-366.65557713266946,-387.62082079948743
-390.8374339365621,-423.25569639167543
-345.07733087597853,-366.9116496973512
-434.01652335497056,-429.95151917945554
-428.1173777922893,-395.71086723026286
-340.74321089257364,-343.96554960482143
-429.5905718561092,-391.7432933108718
-348.10737002801284,-411.42037537065465
-351.89947708866833,-361.19396728142317
-372.84749471421856,-362.63194030023453
-379.16262228034014,-400.2825876570932
-337.30239372264555,-420.2227100977284
-421.3728601343405,-345.52764380901476
-386.7979543376952,-422.75474360656773
-378.553314729206,-386.7061628827092
-367.1095884233129,-365.2930946774613
-388.40704771909634,-393.96209312181145
-405.824070359316,-365.894889656558
-383.887951007533,-427.3202521611713
-370.4227176805868,-370.8375577454254
-364.86389038788616,-328.8311317328385
-354.51938592658234,-355.3737936255459
-333.69535167489255,-369.58258100216676
-431.41714055019503,-331.21052675810836
-358.1070727103459,-343.5425391823506
-413.04151548689475,-357.5833524509174
-326.35816833248293,-329.5305867444641
-390.03018343147437,-354.24778422041976
-313.8598662199616,-368.54635977031666
-383.9468658667747,-379.77437239102267
-341.9858150707144,-359.75218730461853
-364.5344543594822,-363.8577493858422
-379.11657187072825,-379.52369243299955
-361.42667684540623,-384.3072572796611
-378.68164721240015,-351.51312806465637
-367.56135666594275,-311.08014744344916
-389.9043940358105,-324.95279835143646
-365.9108855205262,-381.7249472956656
-325.78756697241096,-395.1425384955408
-417.467254349413,-332.88231530039104
-349.7709206515383,-348.8005446938646
-347.5392384110346,-328.1568501100329
-385.3477749352441,-308.25431063872327
-369.6364148057509,-357.61275565590466
-337.741201927806,-320.3923545698615
-349.36249101234574,-363.34585626199953
-318.49426829951244,-395.33971659206657
-366.32488580151147,-401.14831001976626
-298.4073865436494,-424.3682593744504
-358.3127541319623,-383.69761578347334
-379.9910070009754,-350.1972149111266
-368.97076466318043,-425.9890754522482
-384.19678970342176,-315.26751999740344
-321.2400285511679,-412.27342442559683
-357.75485669813366,-363.5265270136052
-376.9539538373699,-313.6008091652092
-277.4458220048204,-348.5889461887144
-387.4507751167052,-304.5551046334616
-334.98493568123024,-386.99271817803003
-362.7522266615498,-345.44814061972676
-346.7003159010168,-366.2400045696053
-367.44036910622293,-326.53654382765296
-328.5084112091381,-314.67724932034014
-334.2434319702704,-389.8620862707879
-355.8686507911612,-370.6328245253754
-390.01382671784705,-327.1547560094609
-380.03225108163804,-374.96060496386053
-356.94900826178525,-328.3794100366856
-318.2728863190419,-321.5840001517124
-340.2304461768266,-384.0634521136744
-329.6574843342248,-377.3856829972261
-352.3624344984469,-337.3362997013803
-398.29676219128913,-380.9401429348247
-359.84759681264904,-329.8649698665217
-350.7774827566663,-385.6312263189904
-355.6611421949074,-293.0282358802883
-318.75583321181404,-354.1676339766293
-398.9198436592164,-355.611283688606
-351.2365154654293,-338.0954192655164
-298.7267742026293,-362.9681519350914
-373.1116359143713,-351.92951256195465
-356.34334876766695,-324.3777637168779
-370.0235329191665,-359.8455678990567
-345.6914331553184,-367.18196343114005
-370.5430685629887,-341.08279994847027
-335.98459927837666,-336.7757100008117
-405.28174839088837,-359.22223138860636
-390.63217143410674,-349.3618161604445
-307.76269992169466,-315.91261488331907
-340.51295272081944,-319.3136269092575
-384.82134114916533,-354.26223829707067
-410.2231538356254,-331.4901650655883
-318.0403002688334,-332.65495947094695
-372.50433785685743,-306.1237773365352
-354.5815842728604,-323.69560056488666
-307.5797884291013,-310.66288283129046
-322.2371320390196,-338.63018396497796
-334.54051231237275,-379.54701033861096
-323.3943070210413,-358.78146497081946
-307.68434887613637,-304.6404322740303
-296.9453504197501,-299.4159954684382
-324.7415979216529,-309.30714693142914
-329.1148977045776,-337.4316121276591
-334.2576176030603,-374.31070638123725
-335.0001888886865,-299.2263222183671
-327.50388498778545,-330.8929728689104
-328.75198113916616,-278.93082061365305
-334.08555945388247,-373.3697536866752
-319.03895352068474,-301.8690856788653
-284.7639496440388,-328.5132360834454
-321.5338305809526,-337.90596487661634
-364.4675295329391,-326.72872313547987
-336.88666260212284,-322.67194520270596
-290.67137224474914,-320.14593071060364
-289.60523299681023,-324.84463431992435
-300.01609333200014,-343.8621303839682
-351.2851013472756,-326.70758939884564
-360.92384377768434,-315.8117142594215
-317.7471394559698,-304.16385813037624
-322.5411393613025,-300.13542742430684
-334.8148131764086,-313.11431412810384
-303.2313051470247,-370.301336708174
-354.1417391140706,-302.214725090248
-335.41592574410873,-273.55075936350653
-338.7971644438155,-329.9054634712566
-361.0428841302644,-340.01271832023104
-296.29120138827,-272.97632343771204
-292.4452094682671,-347.6104960720134
-284.9456520147077,-303.1765392803718
-355.49738150887185,-341.53654106829
-308.84456313210455,-327.27935641599146
-353.26995876544163,-310.58558357270164
