train,test
-370.44770939896625,-306.73257631082913
-343.67376603849743,-355.7226495310052
-349.4331383759339,-353.25613093785364
-304.54922304599614,-327.32659674821934
-343.1864371319543,-350.62961370031
-322.03492403390464,-338.3134953481167
-351.5133558698214,-316.1798966044362
-315.6496523222133,-349.64920573757536
-329.52185935700555,-254.45549881425544
-303.45130417114956,-310.14800196299575
-305.4827656951302,-332.4359693831021
-321.61804138067714,-295.6424777834153
-332.5427273650627,-326.4173593299557
-320.49496564285386,-335.85652133718844
-300.96488635692896,-285.3525845345429
-311.97160811800165,-308.23963278638047
-342.99744118656656,-332.24424733845814
-322.8722004323106,-311.4389063181392
-307.01730155213767,-302.07753100305735
-312.42811470186473,-340.4460132274714
-325.02422995165955,-342.68207241349387
-373.2968204332269,-365.1956064346036
-297.2343114352774,-334.7241936369838
-322.01257535744656,-284.8842305842416
-369.07918037137694,-308.1357315248133
-316.37438332283153,-325.0829109686376
-282.53210645726557,-309.9086595225663
-314.6796204993903,-296.0892178938545
-367.3296687014089,-364.97339571881116
-335.29833095221767,-318.95421004113086
-311.1883260644337,-316.7619967559973
-309.71900908774734,-321.7658924359227
-381.30673981145566,-334.5947020036429
-311.7332229210323,-319.1261729808114
-292.9061626835232,-298.1423352113695
-331.1803566922963,-336.3116872272059
-341.77014201575685,-353.4412072685308
-303.3165246060682,-301.5950942267364
-305.6431252821135,-282.83711790269007
-338.0415992768447,-315.7120427823913
-334.8391043781737,-334.89293041521165
-297.66098255022877,-304.5042144194124
-307.8564541157791,-304.31621947555954
-334.32287505380316,-316.2759721823041
-358.0076098511285,-300.6439381679868
-310.3110377902238,-311.24539250919304
-365.87566777279443,-314.7004461362511
-319.80645460225116,-297.5160152824371
-339.34842471564053,-319.7442534138439
-304.2672663943802,-271.68969523283187
-356.30953730808307,-290.0902914512288
-290.0071458627124,-300.8775929996735
-312.5946910152622,-301.876684438497
-320.88893667313977,-336.21676685258274
-299.5862730830688,-309.2882019551279
-298.36140481119554,-262.1871831550607
-351.6610023866804,-379.99939710183236
-301.0662870846301,-293.0629262445874
-282.1797514781613,-319.5198297906191
-279.6672040185331,-345.8727963492716
-308.90221910486787,-318.7849206453579
-317.52133679777484,-314.8044211309368
-329.70114479063596,-273.09029317180796
-259.6801278563569,-295.3255749396857
-348.75295817060066,-288.49284514378047
-311.31979801327253,-299.7628118616846
-321.3165619046438,-275.04711906801697
-303.96662356844763,-278.9454706851962
-283.0177640255654,-306.60736623811283
-305.4659412872312,-292.11325111012695
-263.7128372464501,-260.1611711546367
-285.7393203611841,-332.1020456782959
-251.12166204505775,-292.10003827147125
-271.249360066348,-305.1391268835403
-268.08541137535894,-261.38851796676005
-327.60644204991456,-310.9726496121077
-340.90749920400276,-307.9048558108088
-286.9778278300622,-316.8521366371714
-349.1502090756545,-281.2969147274129
-296.23018544508705,-287.438744899861
-315.12941098488074,-278.34472376541385
-317.6415111642754,-289.1563662117634
-319.9501444794169,-282.739042107325
-280.56494612766176,-320.4211059167825
-282.57662922129157,-307.1204634191117
-346.0716801199889,-325.20916692450135
-271.392690581815,-304.7318499756657
-320.6410799904947,-281.7656192043816
-314.9633288530821,-301.9180769590608
-275.4116256882901,-282.3095726748133
-254.69347474440968,-331.76069743044684
-330.85782431642787,-331.55152725476603
-311.3384052856624,-321.5004852829509
-296.04464300408597,-329.1810743130579
-313.10804615786697,-329.1562448909772
-302.5985824333499,-335.9422495781337
-295.75270288314425,-323.81373363298576
-294.01481968542714,-276.0016715151057
-320.2155236109089,-283.11946978270856
-292.46846362180406,-288.4137389400021
-308.5364193376309,-308.08635565177207
-335.6576004362209,-278.22107789803124
-303.63190869043774,-309.4556435190548
-297.9672604934815,-360.31178353336946
-275.8492782048808,-305.36922418753886
-337.13418173135886,-297.2314470158893
-306.64219792757507,-312.9273903717723
-349.077562461398,-313.30156469091986
-305.05535300846964,-321.6122315327396
-282.6028753697224,-316.14971843471415
-323.26590755327345,-352.89525045575044
-265.89036108550914,-281.482735327984
-243.93935904618576,-256.44896999940966
-258.5530107317903,-243.99705525152632
-285.0449356010528,-317.236137730196
-329.3685750392876,-288.0157296264674
-289.8625167471916,-265.09669088721694
-304.8283101891745,-294.7209485198895
-260.813173424012,-262.31366009338683
-266.1235979675219,-289.26947479434483
-316.65541164599057,-305.6275977380655
-288.2145796590658,-283.6231978958568
-316.54934063043765,-255.48296621851196
-249.0643914162276,-281.2668880372771
-313.5752840417576,-305.80339581987516
-285.6206276414287,-287.58914698768814
-296.7894110786197,-276.8085104010085
-277.9406819966683,-250.46370375229677
-297.8370894323288,-285.74243256272916
-335.76372991778726,-300.7938884904984
-272.4345763132995,-293.8469946583175
-287.3332320052923,-300.1194914943737
-300.16889068766176,-284.111218322061
-263.06422911738605,-270.5535195908265
-285.36023104432604,-295.6609971683087
-299.2552582504038,-274.76619288433903
-290.2656053828951,-282.2168119931592
-266.1722264842265,-276.7505916274716
-324.4652455554596,-278.41164748705603
-309.4121844773065,-277.691686235568
-280.4261500076458,-295.85355208315605
-284.20428281213765,-278.1212756135977
-279.3541962883567,-290.4570059656224
-316.64916917604825,-259.14151897002216
-254.31834240198572,-276.7230060652698
-302.23518367807804,-287.5672899721055
-272.4104717400556,-257.07669099351864
-260.29483411519504,-304.8184544013741
-340.0316400459931,-298.29988079269896
-322.10168036000897,-279.5226333811571
-273.9956284346669,-258.8706595419743
-298.36686644620164,-306.48118610187055
-235.1829162885678,-324.68356791612916
-317.4931452729347,-290.3721175769549
-227.60758740470607,-264.8325030015065
-276.8510643120324,-260.11183110024695
-242.51468187047374,-292.40582757020803
-276.1524354170685,-284.5751884270713
-250.20588531575075,-249.98344312652347
-262.30131107431316,-339.6049944450144
-273.87561685185494,-292.1306056960249
-280.1035805079612,-269.0436658303732
-325.79281228919336,-271.7502121401617
-260.66597903635,-265.3222044053695
-278.0344372662702,-267.67814434540537
-303.6363363151827,-294.2459702824487
-312.89291566947503,-279.6465829431035
-315.72884197064894,-274.149463502231
-236.61000815439263,-302.11417562413305
-296.41717873564744,-291.86265915534034
-288.25433952797,-299.19428444539176
-285.5130822171029,-284.25640410161236
-279.8838944806949,-265.33356843778614
-263.52196638604005,-225.8284454284148
-283.2833084632442,-299.90058289725795
-293.8751972611574,-280.6333887246008
-294.11328043771533,-301.8566264509058
-264.2723566825501,-223.54368059639594
-283.88546964830624,-260.87732889719183
-257.47681189810083,-283.9223314179035
-259.86586756964056,-311.40707320457545
-285.749827648966,-292.66346902882304
-305.8979276503396,-254.49186892921276
-265.7099335501147,-241.57877047317336
-266.91720925508343,-278.57070230108826
-262.8295657286902,-271.80101112937376
-253.87485140035326,-292.46575612641243
-289.49839322750864,-260.21458341487863
-288.52449722357085,-260.5695005617307
-250.13772689797844,-253.64899416853407
-287.64196336575014,-315.24557551579073
-283.31858593894526,-255.9486122686377
-276.00745485294317,-233.61375810570797
-286.9582765205353,-239.927692391243
-279.14908037396935,-240.64288381188643
-244.32638464302565,-267.66839566534554
-219.94089380968845,-253.92508362613557
-263.713052296215,-263.1350064833586
-247.83069357533873,-273.6618421643858
-270.6450273492306,-254.5270238493734
-271.9018237489015,-246.14464491776766
-267.2734513456747,-296.81624165939564
-308.2955405287533,-289.4869239712543
-273.94918383577175,-258.99928479395953
-247.2708977934287,-247.79072997158605
-319.44492053137645,-227.52682957967696
-264.1350555539738,-282.106823790998
-262.9345503779081,-272.3869750100842
-234.08948201294285,-275.6912173579993
-251.04653070736808,-233.02944172411512
-288.15618682141906,-309.6526340232943
-218.60933763843204,-207.63058788817142
-238.7752790172059,-258.1453907619366
-270.6710820628581,-280.807620300256
-328.6572465885955,-269.04045641863644
-274.0168222819407,-226.8126332758372
-250.27520188783154,-256.34191330411926
-284.2468402076397,-250.36465044738486
-284.6249077256297,-248.48401916476877
-246.43221955077234,-262.99733108871015
-265.77616081179775,-282.34221122171965
-262.8556336945711,-266.7101578506419
-258.71995994955705,-283.04603069066565
-266.54408898403,-269.6312635940528
-235.68941986809855,-305.2909549300879
-266.5963872464885,-261.01116713166164
-278.59037534937454,-276.52272069778775
-268.93419617946506,-234.43608038380245
-244.91703213532537,-259.0158046706935
-264.3127426740585,-278.071704011016
-262.6255835588323,-243.33586429729482
-245.72909897472078,-281.5705742316228
-269.8641324801492,-251.50058555849103
-287.39413895507323,-256.9512456404479
-293.71883214412674,-266.2777526278222
-286.2264157302867,-256.0766193966475
-231.07837888892294,-275.8983423172185
-256.4225820613578,-262.67910436473977
-291.33285746549006,-285.5772209769824
-282.5115151093152,-261.2903810636804
-265.8202405130365,-283.7053605717198
-258.54434644785067,-238.40329488197497
-252.039952675474,-238.4971547737311
-255.5336920926183,-219.2348913841532
-264.8829393358086,-234.94006712771392
-271.89207305031965,-250.01403988595789
-228.57388032330803,-264.3197465267702
-238.92391461644016,-247.05279422912588
-292.5005874452463,-248.67528965616373
-230.86095851038152,-254.52994456333778
-254.1742617796952,-260.66812509978354
-259.05694442652805,-233.18823213349685
-281.18350894955086,-256.430792360164
-251.37258152876194,-253.80254101397165
-258.3490531038241,-230.5133914838156
-277.8719372220357,-259.25927114055247
-259.88817832188727,-241.5833051373409
-281.2617656079956,-258.44796855907015
-269.54921618788114,-255.87274242691237
-236.1953356175747,-267.62399697568094
-236.8831171207742,-254.27961564856776
-245.34799129702682,-200.71953992972126
-224.3937376280662,-276.6142974768535
-228.7181338456745,-253.53952808752632
-229.7788336188112,-235.36971404496717
-240.7530542451677,-246.476424029344
-259.83293413083425,-234.4583972629127
-249.19532904675677,-247.86958082929328
-263.941757768893,-262.9228514878783
-264.98586199520037,-260.2936249373996
-240.5461628296926,-265.93155259467585
-232.4688736830878,-243.56633039747882
-230.83716179095634,-251.8729027291711
-236.7791402356581,-235.14972053539032
-229.57681288235548,-264.3205660093527
-267.7180026976941,-252.27770985015437
-240.70174675603585,-251.86221508263924
-253.71444037736325,-206.4352637360985
-260.79302261090737,-222.44298084154477
-252.48562571950043,-251.5769711909307
-212.51679266269872,-250.56363123245663
-263.76899835161635,-251.6356699720051
-233.8923789564386,-246.86292740091724
-238.50778637334787,-230.07732930621452
-232.89700759559022,-248.11522539182513
-227.0761678689732,-271.22487396959303
-230.3485728900898,-243.5293435751488
-257.7795084068185,-220.87289264211162
-280.9890524494002,-249.247660320344
-223.59703968747615,-236.40745495490916
-204.24717986768982,-251.30057913345496
-280.0754948732079,-295.0123381772555
-231.34424168199095,-266.55147104419945
-269.439889559174,-270.85373598029213
-230.27757707706036,-232.61352232278313
-271.8451678035984,-276.5843399639476
-235.25994900079732,-243.32412590752105
-243.87819251385295,-229.59343554206296
-249.56169023652785,-251.6117773272002
-278.57639728558615,-252.2262334384594
-219.83815625610944,-238.44337323880225
-247.20003660630076,-255.82564698374188
-255.08863066601222,-222.0119027926768
-255.04452005385755,-263.80611481906556
-221.23188372619978,-213.77827553569387
-244.37133302155505,-262.2398544138356
-240.9609777787318,-262.7268757485453
-226.73486602900758,-252.47778522101032
-212.1402795419156,-231.1031618956187
-256.5669301979098,-247.79856560669862
-249.84830341265229,-237.656761892921
-229.67462065132565,-214.74368940078972
-254.9126273978304,-264.48979767236364
-255.87174151920712,-257.2829334302419
-230.37427066349227,-257.37548529683085
-247.11364374078371,-211.10285729102657
-225.81488983124757,-207.4738423691899
-264.7227739022,-251.21452526804362
-256.469691686388,-209.4530157430564
-233.07700942755642,-239.02144941003223
-238.83945892453713,-219.95320904473155
-238.49379625724916,-226.16812750522942
-205.98183254038,-238.70446561844923
-221.30552379804777,-226.81413960984278
-254.0601022686215,-219.6467243489834
-243.65751990736229,-200.9673040635446
-261.48678066834503,-232.51890508432143
-242.78341522940786,-236.87275006007573
-253.49625165347382,-262.14014132982953
-239.22951959256918,-243.395258370826
-261.7963391009793,-189.07473840797817
-220.68562033798185,-239.7731193393609
-202.82046254352147,-234.6215627925994
-210.98682921767795,-238.3453472146401
-224.8344101617385,-226.4933276315293
-240.29103270576576,-257.87711206025074
-246.7455097795643,-258.66487063105984
-216.10839433010608,-245.28427215015384
-233.61410452088066,-220.41536228016938
-223.54602191216284,-240.7058002142148
-216.3236286716956,-235.19694102941142
-220.80354455429492,-200.52653524383635
-226.0104987182561,-192.37302200350177
-238.62996841221258,-212.32463493287838
-220.08168261158062,-251.02847305106036
-243.9798016843556,-217.20333103258815
-211.28961036698362,-216.1344009044877
-219.60730554988618,-214.7686995442515
-205.9726486507982,-224.0501627213696
-232.9281898791062,-231.69550249018775
-169.24687851804694,-228.54793942783198
-245.48421388843227,-254.9746309740493
-256.29179833689756,-218.30438845463306
-232.45946976617478,-246.79324257788858
-230.13780099031652,-243.24553125633426
-230.48018091253627,-291.9043382409188
-257.7083543258531,-260.69147395732733
-245.77524403421134,-203.5740845987171
-220.97020437800631,-245.71455933007044
-231.89878524384517,-240.26652820561605
-229.61225269451734,-226.65056826585138
-194.19932044217697,-191.46868258507882
-220.24534055263692,-234.17991609864876
-223.09097475590906,-236.23598862640114
-168.7799581864186,-226.55459806736476
-199.7014386396888,-215.9044602563813
-177.3373378788226,-212.58631340048134
-196.03465073803537,-211.15943121867232
-234.62519891063627,-244.9342454106579
-196.34880192915662,-256.03951931268955
-255.55434049986084,-217.15034267587455
-209.40433320899805,-212.52358682627786
-217.7067638929876,-212.2539882028592
-209.26826551017308,-199.78956110895487
-208.00017580254018,-236.52294675101226
-258.6528176580135,-268.9136450102311
-232.84407171177128,-209.32729795637576
-212.00813231724595,-242.64100171387008
-184.20432616470725,-235.38452442251258
-205.46345072005616,-231.74788703804094
-230.91829707005476,-234.45495943512933
-208.52787746841608,-232.77684383488182
-215.68699628516018,-253.43824925344538
-223.28260617679032,-241.53587307090635
-227.2597173384256,-202.78932742826
-188.17387003133766,-210.85331475376006
-228.58797870147527,-199.90178423127372
-210.06082747836066,-227.36095506270857
-196.975023535929,-226.73836672266805
-226.26278492153187,-212.9720792331565
-233.84633025173738,-200.41771545281895
-210.85768341484223,-178.49924492165383
-204.1493548465082,-204.28201310002547
-182.4611793874665,-212.08157308482726
-207.99733992273806,-209.74323857199883
-203.43985736330092,-269.20479476590225
-209.43934479396108,-274.1759129272045
-202.09197691019196,-209.0194518424944
-211.93394158470707,-234.81409786877592
-226.6733232028327,-196.21720768712385
-217.859596004785,-196.1245656063657
-251.82775696575285,-228.9280395447964
-248.80753855414054,-218.92932031413028
-186.35368993391853,-223.71367011233855
-197.55688379361254,-192.20856028489035
-221.90225289167412,-226.50434953558468
-286.4517915231289,-183.5489918550662
-203.25129286414312,-196.02687731300793
-190.12629654191943,-201.9152201021223
-233.56567581370786,-194.95129935746232
-201.40075507489502,-230.85261031402104
-187.16497491245786,-190.28049138444584
-196.04063527349226,-201.2804909837998
-263.96373808706545,-201.96128717889718
-192.4401841194618,-202.71951301198357
-215.8234024528311,-194.05125222512663
-180.72366220385217,-194.32721270121885
-217.3776339216122,-271.54961647739236
-203.0182479416219,-271.7731506923583
-219.50667842047957,-203.94532422378245
-210.84001934934005,-225.15135334006055
-200.79585010246305,-199.40198997853292
-209.49043576342382,-209.69283734193348
-202.83923211152685,-216.51083777076417
-229.37597794901646,-218.98520440676876
-194.26076405634646,-199.15694823148274
-216.95983873175294,-243.50998518670744
-225.33726084776907,-220.11642630117197
-203.7127091987552,-189.55806759503335
-209.97571055687223,-227.15440417507605
-204.9281347821906,-241.69277257419287
-220.77304329018378,-222.7309500488834
-216.14861174371947,-219.59332960303064
-214.51847607588724,-229.630342982169
-209.1764092805646,-228.5735367092385
-197.05613488494222,-179.20450761595092
-225.96651969027127,-204.59859306409658
-198.39587099064872,-212.78246070833882
-199.21598134228623,-204.51591799997357
-212.2263330091994,-236.48605825461587
-203.43543425270855,-207.16258748312325
-182.7742228210222,-213.46528903347144
-201.18668190615165,-211.37241110879475
-239.6023245403742,-217.19678154311566
-197.60753764792378,-184.25797019859155
-206.61176594645553,-208.20619658922493
-173.70532147816104,-228.26962385269266
-211.9474774807864,-229.05437370270153
-191.72109188268865,-198.07750097053233
-200.61948409818777,-220.75607163883774
-234.27690349839708,-201.0897443802746
-196.54994835119118,-186.6724463947681
-216.08971341163513,-221.46513651852052
-177.89516847351007,-224.55537876209948
-191.39954086618496,-183.5605859778866
-207.20350072686392,-227.74285758530817
