train,test
-449.64862440108146,-474.23671289614174
-499.35225918025105,-470.9100302660113
-493.9476339610458,-531.5988324350329
-403.2636350773047,-402.1393490355543
-461.4495529207927,-450.7606446188285
-446.7591644913777,-481.8741983443935
-463.8088984234971,-488.59270348374366
-481.009487013056,-447.91408871582024
-482.59371110401185,-507.87305328087854
-420.14563443765707,-398.2616161642691
-440.4728106206876,-414.2910251424811
-462.8961827313825,-444.7407368918553
-453.9279553081599,-471.90817093497935
-476.4208508041371,-411.29652287575675
-463.6786535045608,-430.2307115935346
-417.71198716158426,-419.864838079945
-409.1758834253053,-433.352040501214
-468.0035546470301,-372.9041544399243
-446.1542854294668,-426.24324931672754
-394.8724692282532,-433.0704001494617
-502.8313452343747,-436.0240510985693
-507.0895665861957,-416.77097156205184
-425.61338142299456,-489.9526899339493
-464.07179969417405,-431.5345590522819
-435.89764311605586,-438.21333867728293
-458.03482085221174,-435.86831482952397
-409.28646927590194,-414.0298036557074
-362.55599704033654,-390.0642653719006
-474.0362370232659,-424.7834928496893
-441.34706487701226,-433.694247745017
-405.3126028507942,-450.209609794081
-405.2518139866055,-434.09866711948564
-374.95381877125976,-481.020635646476
-463.9211223396163,-466.5199082348895
-498.6394823191866,-403.705779643283
-399.724262128556,-492.5155045453499
-403.3999729138456,-456.80703623475944
-378.10753059270064,-408.09482716069016
-355.9950772674941,-398.9475242162253
-402.07987767686177,-393.82597832976745
-407.3927894908947,-345.0573462603113
-422.5263208668054,-395.75478230957617
-458.99008410652914,-407.4370571516109
-431.4904861446727,-410.17706275290664
-398.84095971723303,-437.82224344936435
-389.3793959896164,-461.81970307335285
-399.6776454308511,-431.77404706786473
-435.0943593666086,-463.6759658450607
-379.5574819858104,-403.2842151737656
-422.2438550431981,-469.64423768078046
-399.8747668774804,-372.2319129695892
-402.869054634238,-433.2604653314021
-395.6378377095654,-435.9349901654821
-405.1598523569384,-515.8243990070426
-425.77284912706307,-448.2043256848508
-417.21416891601507,-401.0842947655392
-410.25119231665883,-464.9494210044214
-433.1395971654024,-498.67861524126437
-389.8407540236997,-425.221714088023
-366.92527126129977,-394.73815507789845
-381.509547463335,-392.8725593418378
-395.0244427932533,-360.0074691675185
-385.1941030097252,-432.47572827829566
-436.8066039240998,-441.56787658341426
-410.5749607501855,-360.91908812039213
-431.30296489451894,-368.2135777921509
-441.22517022204244,-426.64930337032746
-382.8069327482184,-461.0991523244938
-353.5924099654476,-460.67840528354884
-468.0893678948928,-454.45525445794533
-411.3491364470694,-450.350408643852
-416.55667906527134,-398.0251537890926
-370.24609159767107,-405.57555625231834
-437.40706177457446,-429.0035545007097
-429.781398390291,-393.39049570770976
-420.45827480767605,-365.5031408095812
-353.60230131771294,-453.7562185959506
-348.57991426624716,-396.35499386508377
-415.6787650280671,-389.59679329625567
-408.20628191114173,-405.02293912223445
-395.3955220194595,-455.53105324233485
-398.6658244364354,-392.98384403386734
-384.37727320769517,-414.88875026739976
-383.5763539496937,-422.2070661547748
-419.4377819082436,-395.245982673197
-479.28072348376486,-402.0631782397215
-418.04428589056124,-443.4916512501922
-439.19866856723763,-399.4069723221012
-380.58939314326597,-360.6959076845376
-405.3622476869782,-422.9754175557127
-378.71377896499934,-366.22558574838524
-463.7577010759845,-425.5686972276369
-414.6801363677216,-411.490361781561
