train,test
-469.4819975582948,-394.694861583029
-402.73260121795,-423.50735852639855
-395.52126144866804,-427.01137630423153
-418.27994660505317,-375.9769195702581
-375.53503917308666,-369.0485852850596
-414.8170108875305,-439.17026682174543
-428.1797867770743,-429.1894442685963
-388.0072095251137,-394.03020029244874
-417.3017543186617,-367.2492184723992
-417.2463131146826,-376.08927540458603
-392.30200003467155,-372.05126663982355
-416.7063609077586,-335.3379924667567
-414.0617508164765,-365.81808868875277
-439.00289564426515,-411.5141932928882
-435.570992890905,-369.0107731086949
-355.0735812253535,-461.2049463990956
-451.4317390054071,-339.02924671243227
-414.31813201205466,-366.96405553829857
-395.43345566178147,-423.6935253242169
-450.70593019523307,-406.6748029556806
-355.6282786518261,-434.5270967411006
-442.9979743863898,-426.3823092944396
-392.2333455816394,-417.312849330533
-355.6867362419881,-410.97388158322383
-390.5922704883286,-414.9145895685981
-419.0774615509259,-391.6598796903924
-408.61382472805053,-396.56963299916214
-355.78599679750414,-409.5760583803755
-378.38463889701865,-380.1743468557585
-385.9472719070797,-340.52533969855284
-379.9730492731972,-374.5596901653584
-389.3141592700475,-393.2986662071227
-405.9065623924255,-351.83874403668017
-397.1409097701869,-332.7582133737214
-402.2157570505276,-377.2217474709398
-389.5079444132799,-380.1618026873214
-417.91212689237324,-387.45326659154017
-367.37645629669197,-400.8102178102146
-353.7172497030919,-366.1311886653736
-406.8408393635294,-426.4570020340084
-357.92751315955405,-400.0387006343918
-366.52195701164294,-434.602672216234
-394.07278718292247,-367.27183989837505
-402.23220730751575,-393.96779200731464
-344.5102993016199,-368.62009451073135
-385.8147348168727,-384.5566364604789
-316.3911980472631,-330.7398318624577
-362.1848587029091,-444.64610706595863
-372.62372562926106,-372.5866994782796
-386.8317171767043,-390.30459772210327
-360.62644709767596,-332.28257577678283
-468.8531608899591,-380.0148053695206
-344.46778224232526,-354.8092293627234
-344.2011215678968,-354.7201975234611
-400.9862377615748,-362.71940470169915
-322.57577396350655,-380.7166072004605
-419.40120158269747,-346.3230919737316
-425.9590943443237,-344.6481525920783
-364.66996789809843,-334.7148843633098
-360.6582908738808,-380.72372135297684
-332.5867533257117,-412.8853268475743
-410.82648594374126,-391.57521903104055
-339.42273462978545,-391.0768303982108
-419.1098021250962,-373.5937947094786
-344.1470181023234,-349.63882524326095
-334.617123094766,-351.0389811699926
-395.4347418206778,-355.4030859559265
-356.91286016902376,-330.1996573747891
-402.38540023570914,-378.0241396229238
-364.69383106125804,-401.89850549702
-445.72811288966534,-415.32825647791344
-382.87437842289927,-385.74907318675827
-360.26786783765067,-370.3978330644281
-345.05620006662076,-355.4835269809791
-387.61007500580706,-359.49779524643407
-348.1049568693298,-354.1630509324907
-407.2765048423915,-356.57666901250207
-335.40955947977875,-346.9862378569474
-340.6573203337654,-400.75683130892577
-336.2015225402199,-388.80701876902424
-340.69487605283047,-356.37880933529914
-356.74453114765583,-443.86006288617443
-392.247648077291,-362.2921266830805
-405.7789711612891,-437.0302093997758
-378.1604905728072,-360.48426481214767
-410.51852518143255,-383.22762370728
-370.8149147292656,-403.5539216293395
-372.26355176692965,-358.92059804797225
-404.9624397229367,-427.6951008236169
-366.9088665140667,-340.57159212971135
-360.1099249786362,-337.93418832760415
-388.78638483894184,-373.34262096787876
-376.13438270405715,-377.8167982512421
-419.1578550960979,-346.7577344317055
-365.3390058956387,-358.39574715254565
-301.4442313788885,-421.76920810602235
-339.74584450378865,-326.05056127663823
-392.6527588693516,-356.9142463865543
-406.3836312809103,-377.45595526284615
-372.7848542129492,-366.56806838380356
-341.14731886606404,-399.17529296235324
-408.58857728547514,-325.58265453414197
-344.18438823024354,-316.2753202113493
-357.75448673562033,-394.21828438317937
-349.5720277955002,-357.843498812566
-348.9799969283885,-363.29256790921926
-384.8757496712549,-382.3444598728756
-350.1668792786151,-337.5426466743729
-330.44019609817246,-351.1981458319645
-386.2920253634741,-364.2073687079457
-288.9023943354772,-323.3773591757321
-364.60268324811386,-349.17199233555993
-409.41057251653365,-326.4790720343997
-298.42067717299085,-382.8889646622063
-319.2442271567112,-398.63332944619964
-375.0577021657062,-417.74567116489374
-354.56176919767904,-311.17107804067837
-353.1660022365645,-334.19600442309263
-408.9780462127034,-436.1927035986031
-359.38082801081794,-343.15424311396515
-339.9336551856865,-324.86230793061094
-362.1442781531922,-299.50496918593234
-346.7111415590344,-377.167607859897
-337.0258266202304,-364.6602052714412
-339.8188570051105,-401.51601265893345
-317.7973896257977,-363.8635465608118
-306.3094111538354,-363.9877130619682
-326.93358959531827,-389.75133074512144
-414.2390971149109,-336.5632628975807
-342.2252653720128,-327.2944422321713
-300.4045776148962,-327.2565196717562
-401.5399322811174,-314.543709355486
